Title,Link,Description,Remote_testing,Adaptive_Testing,Job_levels,Language,Duration
SAP Materials Management (New),https://www.shl.com/solutions/products/product-catalog/view/sap-materials-management-new/,"Multi-choice test that measures the knowledge of SAP materials management, organization units integration, purchasing, pricing, release procedure, contracts, inventory management, invoice verification, split valuation, account determination and integration of materials management with other modules.",yes,no,"Mid-Professional, Professional Individual Contributor,","English (USA),",Approximate Completion Time in minutes = 10
.NET XAML (New),https://www.shl.com/solutions/products/product-catalog/view/net-xaml-new/,"Multi-choice test that measures the knowledge of XAML triggers, data binding, custom controls and layouts.",yes,no,"Mid-Professional, Professional Individual Contributor,","English (USA),",Approximate Completion Time in minutes = 5
IBM DataStage (New),https://www.shl.com/solutions/products/product-catalog/view/ibm-datastage-new/,"Multi-choice test that measures the knowledge on the concepts of Data Warehouse fundamentals, DataStage fundamentals, DataStage stages and, DataStage Designer & Director.",yes,no,"Mid-Professional, Professional Individual Contributor,","English (USA),",Approximate Completion Time in minutes = 15
SAP SD (Sales and Distribution) (New),https://www.shl.com/solutions/products/product-catalog/view/sap-sd-sales-and-distribution-new/,"Multi-choice test that measures the knowledge of ERP basics, SAP architecture, sales, distribution, master data, documents, basic functions in S&D, billing process, order and delivery processing.",yes,no,"Mid-Professional, Professional Individual Contributor,","English (USA),",Approximate Completion Time in minutes = 8
SAP Hybris (New),https://www.shl.com/solutions/products/product-catalog/view/sap-hybris-new/,"Multi-choice test that measures the knowledge of Hybris extensions, its architecture, configuration, data modelling and management, service layer programming, cockpit framework and workflows.",yes,no,"Mid-Professional, Professional Individual Contributor,","English (USA),",Approximate Completion Time in minutes = 20
ADO.NET (New),https://www.shl.com/solutions/products/product-catalog/view/ado-net-new/,"Multi-choice test that measures the knowledge on the concepts of ADO.NET architecture, components and data provider objects.",yes,no,"Mid-Professional, Professional Individual Contributor,","English (USA),",Approximate Completion Time in minutes = 10
Industrial - Semi-skilled 7.1 (Americas),https://www.shl.com/solutions/products/product-catalog/view/industrial-semi-skilled-7-1-%28americas%29/,"Our Industrial  Semi-skilled 7.1 solution is designed for entry-level positions and measures the behaviors and experiences that underlie successful and safe performance for production workers. The solution assesses behaviors and competencies foundational to industrial roles including: following policies and procedures; applying relevant trade skills; wearing required protective equipment; working with or monitoring equipment; producing high quality work; effectively working with others; and maintaining an orderly work environment. 
Potential job titles that use this solution include: Production and Assembly Worker, Construction Worker, Extraction Technician.Please note this package is in Americas norm.",yes,no,"Entry-Level,","English (USA), Portuguese (Brazil), French (Canada),",Approximate Completion Time in minutes = 24
Polymer Engineering (New),https://www.shl.com/solutions/products/product-catalog/view/polymer-engineering-new/,"Multi-choice test that measures the knowledge of characterization of polymers, processing, synthesis, testing and applications in daily life.",yes,no,"Professional Individual Contributor, Graduate, Mid-Professional,","English (USA),",Approximate Completion Time in minutes = 8
Industrial Professional and Skilled 7.1 (Americas),https://www.shl.com/solutions/products/product-catalog/view/industrial-professional-and-skilled-7-1-%28americas%29/,"Our Industrial  Professional and Skilled 7.1 solution is designed to measure the behaviors and experiences that underlie successful and safe performance in the workplace for specialized technical or professional industrial roles. 
This solution assesses mechanical comprehension and other foundational behaviors including: behaving safely and efficiently in the workplace; installing, repairing, and/or maintaining equipment and machinery; making sound mechanical decisions; maintaining an orderly work environment; and producing high quality and reliable work.IMPORTANT! Please note that you will need to select the correct package depending on which norm you intend to use. The package available for this product is International and Americas"".",yes,no,"Entry-Level,","Portuguese (Brazil), English (USA), French (Canada),",Approximate Completion Time in minutes = 49
SAP ABAP (Intermediate Level) (New),https://www.shl.com/solutions/products/product-catalog/view/sap-abap-intermediate-level-new/,"Multi-choice test that measures the knowledge of SAP ABAP dictionary, elements, operations, architecture, ABAP data types, ABAP reporting, batch data communication, dialog programming, EDI, ALE, IDOC interface, BADI, BAPI and function module.",yes,no,"Mid-Professional, Professional Individual Contributor,","English (USA),",Approximate Completion Time in minutes = 9
Sales Supervisor Solution,https://www.shl.com/solutions/products/product-catalog/view/sales-supervisor-solution/,"The Sales Supervisor solution is an assessment used for job candidates applying to entry-level sales leadership positions that generally supervise employees and have a significant portion of their job performance based on sales. Sample tasks for these jobs include, but are not limited to: planning and preparing work schedules, promoting products to customers; training subordinates; building ongoing customer relationships;
and making day-to-day decisions with minimal guidance from others. Potential job titles that use this solution are: Assistant Sales Manager and Sales Supervisor. Multiple configurations of this solution are available.",yes,yes,"Front Line Manager, Manager, Supervisor,","English (USA),",Approximate Completion Time in minutes = 38
Agency Manager Solution,https://www.shl.com/solutions/products/product-catalog/view/agency-manager-solution/,"The Agency Manager solution is for mid-level sales management positions that include front line management and sales responsibilities. Sample tasks for this job include, but are not limited to: directing and coordinating financial activities of workers in a branch, office, or department of an establishment, such as branch bank, brokerage firm, risk and insurance department, or credit department.  Potential job titles that use this solution are: Agency Manager, Brokerage Manager. Multiple configurations of this solution are available.",yes,yes,"Front Line Manager, Manager, Supervisor,","English (USA),",Approximate Completion Time in minutes = 51
Verify - Working with Information,https://www.shl.com/solutions/products/product-catalog/view/verify-working-with-information/,This test measures a candidate's ability to process information. Candidates are given information in different table formats and are asked to use the information provided to answer related questions.,yes,no,"Entry-Level,","Greek, Arabic, Chinese Simplified, German, French, Italian, Dutch, English International, English (USA), Latin American Spanish,",Approximate Completion Time in minutes = 10
Apache Hadoop Extensions (New),https://www.shl.com/solutions/products/product-catalog/view/apache-hadoop-extensions-new/,"Multi-choice test that measures the conceptual knowledge of Pig, Hive and HBase.",yes,no,"Mid-Professional, Professional Individual Contributor,","English (USA),",Approximate Completion Time in minutes = 9
Bank Administrative Assistant - Short Form,https://www.shl.com/solutions/products/product-catalog/view/bank-administrative-assistant-short-form/,"The Administrative Assistant solution is for entry-level clerical positions that interact with external or internal customers. Sample tasks for these jobs include, but are not limited to: answering telephones, managing files and records, sorting mail, greeting customers, and collaborating with co-workers on projects. Potential job titles that use this solution are: Receptionist and Administrative Assistant. There are multiple configurations of this solution available.",yes,no,"Entry-Level,","English (USA),",Approximate Completion Time in minutes = 35
SAP BW (Business Warehouse) (New),https://www.shl.com/solutions/products/product-catalog/view/sap-bw-business-warehouse-new/,"Multi-choice test that measures the knowledge of SAP architecture, meta data, data modelling, extraction, loading, scheduling, data reporting, performance tuning and SAP BW/BI integration.",yes,no,"Mid-Professional, Professional Individual Contributor,","English (USA),",Approximate Completion Time in minutes = 9
Manager - Short Form,https://www.shl.com/solutions/products/product-catalog/view/manager-short-form/,"The Manager solution is an assessment used for job candidates applying to entry-level leadership positions who tend to supervise salaried employees. Sample tasks for these jobs include, but are not limited to: planning projects with subordinates; collaborating with senior managers on developing new methods and procedures; coaching employees on performance-related issues; developing employees' skills; coordinating activities with other managers to accomplish organizational goals; setting and meeting department goals; prioritizing multiple tasks and priorities; making selected strategic and day-to-day decisions; and solving employees' and customers' problems. Potential job titles that use this solution are: Manager, Store Manager, and Branch Manager.",yes,yes,"Front Line Manager, Manager, Supervisor,","English (USA),",Approximate Completion Time in minutes = 57
Electronics and Embedded Systems Engineering (New),https://www.shl.com/solutions/products/product-catalog/view/electronics-and-embedded-systems-engineering-new/,"Multi-choice test that measures the candidates knowledge and understanding on concepts like embedded systems and, analog and digital electronics.",yes,no,"Graduate, Mid-Professional, Professional Individual Contributor,","English (USA),",Approximate Completion Time in minutes = 18
Apache HBase (New),https://www.shl.com/solutions/products/product-catalog/view/apache-hbase-new/,"Multi-choice test that measures the knowledge of HBase concepts such as CAP theorem, ACID properties, HBase client API, MapReduce integration, configuration and administration.",yes,no,"Mid-Professional, Professional Individual Contributor,","English (USA),",Approximate Completion Time in minutes = 5
Apache Spark (New),https://www.shl.com/solutions/products/product-catalog/view/apache-spark-new/,"Multi-choice test that measures the knowledge of Apache Spark principles, RDD operations - actions and transformations, lineage graphs and lazy evaluation.",yes,no,"Mid-Professional, Professional Individual Contributor,","English (USA),",Approximate Completion Time in minutes = 8
Apache Pig (New),https://www.shl.com/solutions/products/product-catalog/view/apache-pig-new/,"Multi-choice test that measures the knowledge of Pig architecture, built-in operators, built-in functions and commands in PigLatin.",yes,no,"Mid-Professional, Professional Individual Contributor,","English (USA),",Approximate Completion Time in minutes = 6
Apache Hive (New),https://www.shl.com/solutions/products/product-catalog/view/apache-hive-new/,"Multi-choice test that measures the knowledge of Hive architecture, datatypes, built-in functions, configurations, partitioning, bucketing and commands of Hive query language.",yes,no,"Mid-Professional, Professional Individual Contributor,","English (USA),",Approximate Completion Time in minutes = 5
Global Skills Development Report,https://www.shl.com/solutions/products/product-catalog/view/global-skills-development-report/,"This report is designed to be given to individuals who have completed the Global Skills Assessment (GSA). With coverage across the Great 8 Domains, this measure of self-reported behaviors offers a complete overview of their current skills. Participants receive actionable tips on leveraging their top skill strengths and how they might develop their growth skills.",yes,no,"Director, Entry-Level, Executive, General Population, Graduate, Manager, Mid-Professional, Front Line Manager, Supervisor,",Test Type:AEBCDP, 
Econometrics (New),https://www.shl.com/solutions/products/product-catalog/view/econometrics-new/,"Multi-choice test that measures the knowledge of statistical concepts, exploratory analysis and statistical testing required to analyze economic data.",yes,no,"Graduate, Mid-Professional, Professional Individual Contributor,","English (USA),",Approximate Completion Time in minutes = 11
Accounts Receivable (New),https://www.shl.com/solutions/products/product-catalog/view/accounts-receivable-new/,Multiple-choice test that measures the knowledge of processing receivables and invoices.,yes,no,"Entry-Level, Graduate, Mid-Professional, Professional Individual Contributor,","English (USA),",Approximate Completion Time in minutes = 13
SAP ABAP (Advanced Level) (New),https://www.shl.com/solutions/products/product-catalog/view/sap-abap-advanced-level-new/,"Multi-choice test that measures the knowledge of SAP ABAP dictionary, dialog programming, reports, enhancements, workflows, optimizations and advanced ABAP concepts like Netweaver applications and Adobe forms.",yes,no,"Mid-Professional, Professional Individual Contributor,","English (USA),",Approximate Completion Time in minutes = 12
Accounts Receivable Simulation (New),https://www.shl.com/solutions/products/product-catalog/view/accounts-receivable-simulation-new/,Simulated data entry test that measures the ability to process receivables and invoices.,yes,no,"Entry-Level, Graduate, Mid-Professional, Professional Individual Contributor,","English (USA),",Approximate Completion Time in minutes = 8
Electrical and Electronics Engineering (New),https://www.shl.com/solutions/products/product-catalog/view/electrical-and-electronics-engineering-new/,"Multi-choice test that measures the candidates knowledge and understanding on fundamentals of electrical engineering, instrumentation and control system and electronics.",yes,no,"Graduate, Mid-Professional, Professional Individual Contributor,","English (USA),",Approximate Completion Time in minutes = 14
Microsoft Word 365 (New),https://www.shl.com/solutions/products/product-catalog/view/microsoft-word-365-new/,"The Microsoft Word 365 simulation evaluates ability to perform certain operations in a simulated environment of Microsoft Word, and includes the following topics: Applying Illustrations and Graphics, Applying Page Layout, Creating Content, Creating, Printing, and Saving Documents, Formatting Content, Proofreading Documents and Reviewing, Maintaining, and Securing Documents.",yes,no,"Entry-Level,","English (USA),",Approximate Completion Time in minutes = 35
Pharmaceutics (New),https://www.shl.com/solutions/products/product-catalog/view/pharmaceutics-new/,"Multi-choice test that measures the knowledge of pharmaceutical engineering and technology for drug manufacture, biopharmaceutics, modern pharmaceutics and dispensing pharmacy.",yes,no,"Graduate, Mid-Professional, Professional Individual Contributor,","English (USA),",Approximate Completion Time in minutes = 12
Accounts Payable Simulation (New),https://www.shl.com/solutions/products/product-catalog/view/accounts-payable-simulation-new/,Simulated data entry test that measures the ability to process payables and vendor invoices.,yes,no,"Entry-Level, Graduate, Mid-Professional, Professional Individual Contributor,","English (USA),",Approximate Completion Time in minutes = 8
Sales Representative Solution,https://www.shl.com/solutions/products/product-catalog/view/sales-representative-solution/,"The Sales Representative solution is for entry-level sales positions in which employees proactively sell products to customers and have their pay and/or performance based on sales revenue. Sample tasks for these jobs include, but are not limited to: promoting products to customers, persuading customers to buy products, and completing a transaction with a customer. Potential job titles that use this solution are: Sales
Representative, Sales Associate, and Sales Clerk. Multiple configurations of this solution are available.",yes,yes,"Entry-Level,","English (USA),",Approximate Completion Time in minutes = 29
Housekeeping (New),https://www.shl.com/solutions/products/product-catalog/view/housekeeping-new/,"Multi-choice test that measures the knowledge of housekeeping activities such as cleaning, laundry, room maintenance and routine checks.",yes,no,"Entry-Level, Front Line Manager, Supervisor,","English (USA),",Approximate Completion Time in minutes = 7
Sales Professional Solution,https://www.shl.com/solutions/products/product-catalog/view/sales-professional-solution/,"The Sales Professional solution is for entry to mid-level sales positions in which employees proactively sell products to customers, develop relationships with repeat customers, and have their pay and/or performance heavily based on sales revenue. Sample tasks for these jobs include, but are not limited to: promoting products to customers, persuading customers to buy products, and building ongoing customer relationships.
Potential job titles that use this solution are: Sales Consultant, Sales Representative, and Account Representative. Multiple configurations of this solution are available.",yes,yes,"Mid-Professional,","English (USA),",Approximate Completion Time in minutes = 47
HiPo Assessment Report 1.0,https://www.shl.com/solutions/products/product-catalog/view/hipo-assessment-report-1-0/,"Part of SHLs High Potential solution and developed from SHLs extensive research into high-potential programs, the HIPO Assessment Report 1.0 helps organizations identify individuals with the strongest potential to succeed in senior and challenging roles. Using assessments such as the Motivation Questionnaire, OPQ, and Verify Cognitive Ability Tests, the report evaluates critical areas of aspiration, ability, and engagement. This version is used in regions where normed data for Verify Gen 1 and UCF 1 continue to provide the most relevant benchmarks, offering organizations proven insights for high-potential identification and talent development.",yes,no,Test Type:CP, , 
Verify - Technical Checking - Next Generation,https://www.shl.com/solutions/products/product-catalog/view/verify-technical-checking-next-generation/,"The Technical Checking assessment is part of the Verify suite of cognitive ability assessments. Technical Checking measures perceptual speed and accuracy. This assessment requires examinees to quickly and accurately match symbols and switches based on a given set of rules. The Technical Checking assessment is mostly non-verbal and features shapes and figures. As with all assessments included in the Verify suite, the Technical Checking assessment allows organizations to assess this aspect of cognitive ability in an unproctored setting. This assessment is appropriate for all job levels and job titles, but is especially relevant for jobs that require the ability to quickly assess the accuracy of information against a set of rules.",yes,no,"Entry-Level,","Latin American Spanish, English (USA), English International, French, German, Italian, Dutch, Chinese Simplified,",Approximate Completion Time in minutes = 5
Administrative Professional - Short Form,https://www.shl.com/solutions/products/product-catalog/view/administrative-professional-short-form/,"The Administrative Professional solution is for entry to mid-level positions that involve routine clerical and administrative functions in addition to office management functions and customer service. Sample tasks for this job include, but are not limited to: arranging conference calls; drafting correspondence; scheduling meetings; greeting visitors; coordinating office activities. Potential job titles that use this solution are: Administrative Assistant, Secretary, Office Manager, Administrative Aide, and Administrative Associate.",yes,yes,"Entry-Level,","English (USA),",Approximate Completion Time in minutes = 36
SAP HCM (Human Capital Management) (New),https://www.shl.com/solutions/products/product-catalog/view/sap-hcm-human-capital-management-new/,"Multi-choice test that measures the knowledge of SAP HR/ HCM structure, personnel administration, SAP HCM tasks, SAP HCM SuccessFactors solutions.",yes,no,"Mid-Professional, Professional Individual Contributor,","English (USA),",Approximate Completion Time in minutes = TBC
Verify - Verbal Ability - Next Generation,https://www.shl.com/solutions/products/product-catalog/view/verify-verbal-ability-next-generation/,"The Verbal Ability test measures the ability to read written passages and comprehend the text, interpret tone and author intent, identify main ideas, and predict author responses. Sample tasks for jobs that may require verbal ability include, but are not limited to: working with reports, correspondence, instructions, and research information. The Verbal Ability test, due to its adaptive nature, is appropriate for all job levels and roles.",yes,yes,"General Population, Graduate, Executive, Director, Entry-Level, Manager, Mid-Professional, Professional Individual Contributor, Supervisor, Front Line Manager,","English (USA), English International,",Approximate Completion Time in minutes = 15 minutes
Cashier Solution,https://www.shl.com/solutions/products/product-catalog/view/cashier-solution/,"The Cashier solution is for entry-level retail positions in which employees receive payment in the form of cash, check, or credit cards for goods purchased. Sample tasks for these jobs include, but are not limited to: handling payments, offering customer service, and issuing receipts and refunds. Potential job titles that use this solution are: Cashier, Sales Associate, and Clerk. There are multiple configurations and versions of this solution available.",yes,yes,"Entry-Level,","English (USA),",Approximate Completion Time in minutes = 28
Apprentice + 8.0 Job Focused Assessment,https://www.shl.com/solutions/products/product-catalog/view/apprentice-8-0-job-focused-assessment-4261/,"The Apprentice + 8.0 Job-Focused Assessment is a short, targeted, globally applicable assessment which includes a short cognitive ability measure. This assessment is designed for entry-level positions appropriate for countries and industries that use an apprenticeship model. It is intended to be used multi-nationally for organisations whose business spans across regions.",yes,no,"General Population, Graduate, Entry-Level,","English International, German,",Approximate Completion Time in minutes = 30
Branch Manager - Short Form,https://www.shl.com/solutions/products/product-catalog/view/branch-manager-short-form/,"This solution is for mid to upper-level financial institution managerial positions. Candidates answer a series of multiple choice questions to measure management potential, management judgment, leadership potential, team management, branch manager problem solving, business leadership, leadership motivation, interpersonal leadership, self leadership, and branch manager judgment. There are multiple configurations and versions of this solution available.",yes,no,"Front Line Manager, Manager, Supervisor,","English (USA),",Approximate Completion Time in minutes = 50
Dojo (New),https://www.shl.com/solutions/products/product-catalog/view/dojo-new/,"Multi-choice test that measures the knowledge of Dojo architecture, classes and libraries, styles, animation and Dojo queries.",yes,no,"Mid-Professional, Professional Individual Contributor,","English (USA),",Approximate Completion Time in minutes = 11
Stock Clerk Solution,https://www.shl.com/solutions/products/product-catalog/view/stock-clerk-solution/,"The Stock Clerk solution is for entry-level retail positions in which employees work primarily in the stockroom handling incoming and outgoing shipment and keeping the sales floor fully stocked.  Sample tasks for these jobs include, but are not limited to: unload product shipment, maintain stockroom organization, replenish supplies and products on the sales floor, and process outgoing shipments.  Potential job titles that use this solution are: Stock Clerk, Inventory Associate, and Warehouse Associate. Multiple configurations of this solution are available.",yes,no,"Entry-Level,","English (USA),",Approximate Completion Time in minutes = 25
Drupal (New),https://www.shl.com/solutions/products/product-catalog/view/drupal-new/,"Multi-choice test that measures the knowledge of Drupal setup, content management, user interface, module development and security.",yes,no,"Mid-Professional, Professional Individual Contributor,","English (USA),",Approximate Completion Time in minutes = 17
